year,United States,North East,Mid West,South,West,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2004,2277117,208053,212942,454232,263330,2129,13970,8738,23058,122576,25570,13534,3476,5238,124737,43983,4425,8138,6117,45787,17478,9000,11971,16382,22177,25719,4500,35899,17995,20547,8995,4398,32929,2011,5061,5113,40866,5058,19499,80073,31098,12660,12975,36185,3449,14958,2397,17000,80217,13185,29158,2156,21797,17531,4101,2543
2005,5019037,445512,457910,1007310,598785,4765,31440,19261,57218,274220,56121,28567,7347,11424,283900,98036,9665,18034,15209,96158,38136,19020,25590,36418,47263,54874,9202,76485,39975,45091,19685,11310,72585,4215,10839,10744,87765,11605,44120,174176,66477,26968,29761,75977,7265,33455,5546,37269,175560,29344,64355,4553,49958,37934,9143,5489
2006,5271318,458955,468931,1069841,637929,5217,33979,20435,63358,287186,59430,30732,7998,11678,290119,110193,10593,18764,17136,98492,39363,19631,25935,41296,48423,58502,9293,78679,40042,47449,22499,11510,76972,4463,11242,10573,90577,13325,44520,179167,66880,27939,32813,78318,7314,36294,5834,40812,187466,34490,68261,4558,52230,38092,9463,6121
2007,5310915,461757,471984,1075744,645970,5185,33903,19845,65160,288550,61412,29987,7896,13323,280890,115992,10911,18559,16821,100505,40417,19075,25122,39866,46852,58779,8709,79736,40640,45857,22382,10922,79763,4425,11083,10337,93066,14247,43245,182976,68321,28036,33304,78050,7186,37721,5617,42037,192552,36162,68224,4594,53548,37749,9413,6503
2008,5046972,434379,467843,1012660,608605,4903,31759,18479,62180,267015,59213,27935,7969,13246,253720,110916,10847,17718,14589,104691,42783,18292,24753,38569,43215,54724,7762,76941,38950,43330,20472,10387,72587,4561,10822,9605,88148,13550,43096,173675,67348,28794,31492,73305,6521,35808,5515,38539,188305,34253,65092,4213,49276,36892,8928,7804
2009,4860815,421403,465248,974602,569151,4451,29539,18092,58697,251365,59298,26105,7737,12851,246130,108499,9785,17229,12933,96822,49356,18564,23632,36822,43670,49363,7083,73938,44353,41636,19733,8858,68548,4242,10470,8880,84076,11920,37689,170930,68028,26745,29074,70625,6188,32833,5395,36637,186040,32634,63343,3846,45460,35215,8058,6987
2010,4999464,445741,470181,1003384,580424,4701,30252,18011,58456,258718,61807,26429,7995,13125,254823,109145,10104,17982,12902,99380,45426,19024,24903,39906,47392,51380,7519,76466,39964,43473,19961,9542,68970,4892,10992,8375,87219,12218,36463,185904,70099,27715,29422,72396,6403,31901,5626,37055,198147,31452,61779,4104,46997,36857,8316,7642
2011,5150545,455427,475852,1045102,598894,5145,29313,18145,58303,272702,59849,26203,8527,14729,270191,111471,10749,18456,13318,100223,45119,19742,25026,40529,47033,52266,7360,76011,39006,44006,20562,9774,70906,6165,11736,8702,90251,12556,39269,190687,72977,28093,29281,74848,6416,31939,5964,43060,207016,31430,65068,3927,48619,36447,8261,7899
2012,5153160,454659,472387,1051908,597623,5255,30005,18065,55706,270973,61190,27058,8492,15599,271866,111677,11036,18383,13372,96582,44403,19659,25156,39342,47320,53569,7392,74807,39799,44987,20115,9772,70683,6688,12211,8831,89554,12408,38589,188884,72451,28473,28780,75170,6336,32418,6035,40516,209401,34714,67927,4114,47841,36382,8604,7987
2013,5223086,462645,464220,1068425,616254,5384,29551,17644,55951,280770,63983,26302,8570,15784,282056,107884,10971,18023,13376,95995,42945,19474,25166,39236,48094,57027,7304,73009,39216,44120,20562,9722,71367,6450,12088,8468,91559,12105,39781,194560,70994,28843,29485,76274,6178,33358,6154,40599,213510,37267,68969,3906,48947,35752,8299,8512
2014,5334369,460080,463704,1106491,636910,5394,29269,18252,55816,290436,68915,26309,9263,16717,296585,114606,11095,17726,13690,97406,42114,18844,24924,39214,48961,57055,7363,73230,38954,43827,21303,10085,72313,6691,12374,8361,88839,13071,41245,193526,70465,29136,29921,76064,6517,34689,6367,41894,222759,38662,69993,4140,49784,35706,8519,8796
2015,5646897,479293,482342,1188756,673060,5968,31851,19256,57737,306736,72268,26387,10052,17148,321345,122575,11841,18867,14917,99498,43860,20409,25382,44907,50354,59507,7814,75342,39820,47646,23041,10669,79591,6124,12847,8701,93117,12875,40369,201081,73927,30039,34601,80624,6666,37892,6526,44720,239587,41354,73180,4549,53893,37476,8683,9832
2016,5952218,492781,499937,1277818,705572,6381,34755,20637,61963,315339,75510,27915,9884,19767,343380,133957,12011,20066,17469,100930,45132,21378,27291,49777,51832,62419,8068,79945,40340,51892,24924,11166,83278,5760,12875,9169,95889,13119,40364,204063,77397,32944,36147,84463,6792,41775,6343,46973,260829,43611,75929,4590,58474,37879,9299,14018
2017,6394249,528557,539478,1375562,753526,7376,37090,23256,68230,328173,80717,30265,10704,23203,361419,145557,12759,22780,17951,104878,48367,21964,30737,52814,55226,68787,8843,84968,43722,55206,28463,12244,91974,7440,14711,11339,101974,16265,43954,215446,85600,35675,38393,91692,8357,45536,8537,51471,276903,47403,81650,5415,62456,41305,10323,17605
2018,6999890,570969,591656,1500652,836668,9217,42228,25788,74182,367078,88341,34136,11919,26391,395479,161340,15466,24526,22776,117211,52459,24513,33914,54429,59497,75319,10930,94593,47584,58997,30522,15445,98611,8610,16486,12901,109999,18027,45938,227704,91440,40173,41445,98928,10267,49340,9758,57242,299951,49802,86810,6607,69326,45479,11196,19625
2019,7036343,571807,586179,1529434,830749,8156,41575,25480,77028,368586,86885,32947,12370,25977,394871,173120,14559,22065,21606,118344,54175,22564,33111,54264,57387,75748,10006,94918,46297,58934,31449,14156,104231,6845,14909,11098,112967,17514,42697,230001,95450,41149,39403,103375,8458,51929,7750,59210,306667,50006,88317,5568,71138,43928,9966,19015
2020,8758136,654774,759348,2018289,946658,8012,60006,32521,90044,439338,93516,37536,14616,31115,501129,273165,15716,24076,22293,173566,69399,24618,37600,85050,62161,98079,10593,132546,53265,70239,51424,15040,134904,6613,16057,11403,135268,18150,52144,254472,128046,45660,40426,128591,9077,71673,7762,75585,387085,51177,107728,5673,76263,53161,10949,24539
2021,10816060,803986,907640,2538132,1158271,8156,75762,41729,114231,522560,112061,47571,16869,45162,636800,327193,19321,30032,28866,198965,87425,30657,47694,100489,76072,115039,13557,151131,65167,84907,65927,19261,173231,8126,19557,13835,163737,24813,68158,311361,156023,58182,50112,159015,11488,96710,10268,94784,497549,63543,131598,7350,93214,65382,13414,33975
2022,10159591,753652,839631,2349135,1137377,8549,71280,37813,115942,490601,116923,44707,14369,45841,612666,274609,18585,29969,29838,169913,83601,31115,46871,80826,71464,99529,13012,137737,61228,81291,55907,20745,164415,8020,20639,14028,154435,27222,62218,298495,140942,55287,49640,139026,10969,91020,10492,91715,469116,65463,124038,7516,89286,64684,13833,42365
2023,10054473,737390,824995,2287280,1177574,8213,66290,35915,115529,512866,120950,44417,13711,50528,615191,257210,17553,30583,28758,159558,86391,30472,50570,74559,70231,94033,12794,137039,63030,82810,49325,21621,156653,8240,19747,14877,148115,30940,60843,287457,136696,53273,52133,141866,10701,84798,10368,88868,460839,65036,121417,6932,89575,60061,14100,53557
