year,All Industries,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration)
2004,1138557,14407,3131,723,154301,26699,42458,142303,56403,20730,58375,89404,139497,7915,75148,15862,71489,37454,59898,98727
2005,2509517,28513,8140,1679,359795,58052,90184,303680,128206,48410,130935,222022,310294,16600,164342,34112,149042,78825,128207,205709
2006,2635656,29582,9501,1977,358757,61260,90710,311522,145099,54882,135669,239199,328460,18955,174678,36809,159254,86441,132396,225420
2007,2655455,32089,8748,2197,327894,61654,96952,325841,141858,56219,148252,209740,346986,18856,190683,39790,167120,87264,140379,223399
2008,2523487,32405,9415,2567,280941,58622,101736,331749,121627,57069,144682,134707,351540,13649,188617,40153,172844,90677,140353,221291
2009,2430404,30883,6818,2991,240576,54474,103025,332476,110567,56214,132033,115880,365078,11976,178986,41380,169318,91301,135872,226389
2010,2499730,31355,7682,3192,229760,55695,106333,340434,126123,57876,129641,116903,371755,13293,178948,43542,173522,97947,143456,249648
2011,2575275,33712,9466,3185,229790,57243,106780,359542,131675,60853,131773,121027,383484,14134,182976,45878,175338,102661,150445,253981
2012,2576577,36791,9213,3112,226787,58173,103270,355336,136520,59233,134518,132129,376163,16416,189950,46211,172868,102884,149017,248549
2013,2611544,36404,8984,2530,244453,59952,101553,364082,144301,57253,132346,138826,375821,16617,186435,47483,174973,102794,149535,247968
2014,2667185,36769,9180,2449,257994,59281,99493,364329,162129,55547,138523,148040,381603,18160,184128,46523,178582,103684,149794,250236
2015,2823451,38077,6429,2829,287400,61807,98869,382154,183619,60101,139537,159985,394204,18811,197330,48611,191680,108981,160151,262142
2016,2976108,39054,6097,2823,309244,62619,98212,417025,188455,63591,147878,178528,411520,19181,206430,51238,202288,111771,164016,273043
2017,3197123,39138,6347,2806,341349,66305,100798,450235,201148,72968,183085,210621,423829,23265,216318,52798,203762,111161,169388,288426
2018,3499945,41305,7167,3115,370405,65081,99540,484350,239651,74188,214278,264215,456734,27394,229940,57451,217992,117089,177148,308509
2019,3518169,45134,6098,3124,382769,67133,100811,522431,241304,74003,164354,221787,457732,27243,239328,59806,225897,115069,184400,332313
2020,4379069,55027,4822,3478,409499,81644,128134,834300,323494,94441,188024,210014,532736,30008,304808,71600,266374,121030,219779,435677
2021,5408029,57575,5420,4851,502258,94231,133311,982382,481780,109149,251773,289491,613053,49234,374925,76699,298332,148745,301295,533979
2022,5079795,53172,5842,5730,498332,87730,116236,866812,427927,98069,223648,289850,605338,49069,363993,72628,295531,144348,274586,486586
2023,5027239,74448,5370,6555,496764,80152,113034,892628,362841,92455,200922,265101,628676,47268,372182,71990,301195,146916,279245,458190
