Segment,# Approvals_2018,# Approvals_2019,# Approvals_2020,# Approvals_2021,# Approvals_2022,# Approvals_2023
AK,0.30%,0.10%,0.10%,0.20%,0.31%,0.47%
AL,0.70%,0.90%,0.90%,1.00%,0.82%,0.95%
AR,0.20%,0.20%,0.30%,0.40%,0.33%,0.27%
AZ,1.50%,2.10%,2.10%,2.30%,2.59%,2.68%
CA,19.20%,20.10%,18.50%,17.90%,18.76%,19.99%
CO,2.80%,2.40%,2.50%,3.10%,2.52%,2.43%
CT,1.20%,1.00%,1.00%,0.90%,1.12%,1.52%
DC,0.10%,0.10%,0.10%,0.10%,0.14%,0.07%
DE,0.10%,0.10%,0.10%,0.10%,0.04%,0.08%
FL,7.20%,7.80%,9.70%,8.60%,8.41%,10.40%
GA,2.30%,2.70%,2.50%,2.40%,2.46%,3.19%
GU,0.00%,#N/A,0.00%,0.00%,0.01%,#N/A
HI,0.50%,0.50%,0.40%,0.30%,0.23%,0.17%
IA,1.00%,0.80%,1.10%,1.00%,1.18%,0.74%
ID,1.70%,1.60%,1.80%,1.70%,1.24%,1.35%
IL,5.10%,4.30%,4.60%,4.40%,5.06%,5.00%
IN,2.70%,2.30%,2.20%,2.00%,2.28%,1.62%
KS,0.80%,0.60%,0.70%,0.70%,0.56%,0.56%
KY,0.50%,0.40%,0.40%,0.50%,0.39%,0.34%
LA,0.40%,0.40%,0.40%,0.40%,0.29%,0.25%
MA,4.60%,4.00%,3.80%,3.50%,3.65%,3.43%
MD,0.40%,0.40%,0.50%,0.60%,0.55%,0.47%
ME,1.00%,1.00%,1.00%,1.00%,0.96%,0.98%
MI,2.90%,2.60%,2.60%,2.50%,2.29%,2.19%
MN,4.60%,4.40%,3.90%,4.20%,4.05%,3.66%
MO,1.90%,1.40%,1.50%,1.60%,1.65%,1.52%
MP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MS,0.10%,0.10%,0.10%,0.10%,0.04%,0.12%
MT,0.30%,0.30%,0.40%,0.50%,0.67%,0.52%
NC,1.10%,1.20%,1.30%,1.20%,1.30%,1.23%
ND,0.90%,1.00%,1.10%,1.00%,0.81%,0.83%
NE,0.50%,0.80%,0.80%,0.80%,0.92%,0.52%
NH,1.50%,1.80%,1.70%,1.40%,1.44%,1.06%
NJ,1.30%,1.40%,1.30%,1.40%,1.46%,1.52%
NM,0.60%,0.50%,0.50%,0.50%,0.49%,0.44%
NV,1.60%,1.90%,1.50%,1.80%,1.74%,1.60%
NY,3.20%,2.80%,2.80%,3.20%,3.77%,3.38%
OH,3.00%,2.80%,2.10%,2.40%,2.24%,1.69%
OK,0.50%,0.60%,0.40%,0.70%,0.56%,0.59%
OR,1.00%,1.00%,1.20%,1.30%,1.16%,0.88%
PA,1.50%,1.80%,1.80%,1.90%,2.17%,2.16%
PR,0.60%,0.90%,0.60%,0.40%,0.40%,1.11%
RI,1.10%,1.00%,0.80%,0.70%,0.84%,0.78%
SC,0.50%,0.80%,0.60%,0.80%,0.65%,0.47%
SD,1.20%,0.80%,1.40%,1.70%,1.10%,1.06%
TN,0.40%,0.30%,0.30%,0.40%,0.23%,0.32%
TX,4.00%,4.00%,4.30%,3.90%,4.38%,4.57%
UT,4.00%,4.10%,4.00%,3.80%,4.00%,3.87%
VA,1.90%,2.20%,2.00%,2.10%,1.61%,1.67%
VI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
VT,0.30%,0.30%,0.40%,0.50%,0.28%,0.15%
WA,2.30%,2.20%,2.30%,2.10%,1.86%,1.65%
WI,2.60%,2.90%,3.50%,3.50%,3.62%,3.09%
WV,0.00%,0.00%,0.10%,0.00%,0.06%,0.08%
WY,0.20%,0.30%,0.20%,0.30%,0.29%,0.29%
