Segment,# Approvals_2018,# Approvals_2019,# Approvals_2020,# Approvals_2021,# Approvals_2022,# Approvals_2023
AK,0.20%,0.20%,0.20%,0.20%,0.18%,0.19%
AL,0.60%,0.60%,0.70%,0.70%,0.63%,0.71%
AR,0.60%,0.60%,0.70%,0.60%,0.56%,0.53%
AZ,1.90%,2.10%,2.10%,2.00%,1.73%,1.95%
CA,12.10%,12.10%,12.60%,11.20%,10.30%,10.65%
CO,2.40%,2.50%,2.70%,2.80%,2.37%,2.51%
CT,1.20%,1.30%,1.00%,1.20%,1.33%,1.30%
DC,0.20%,0.20%,0.20%,0.20%,0.20%,0.22%
DE,0.30%,0.30%,0.30%,0.30%,0.31%,0.34%
FL,6.10%,6.50%,5.60%,6.20%,6.81%,8.06%
GA,2.90%,2.90%,2.90%,3.40%,2.86%,2.94%
GU,0.00%,0.00%,0.00%,0.00%,0.03%,#N/A
HI,0.30%,0.20%,0.20%,0.20%,0.23%,0.26%
IA,0.60%,0.70%,0.80%,0.70%,0.75%,0.52%
ID,0.90%,0.90%,0.90%,0.80%,0.88%,0.79%
IL,3.40%,3.40%,3.40%,3.30%,3.48%,3.41%
IN,2.30%,2.00%,2.20%,2.30%,2.35%,2.08%
KS,0.60%,0.70%,1.00%,0.90%,0.83%,0.73%
KY,0.80%,0.90%,0.90%,0.90%,0.82%,0.77%
LA,0.80%,0.70%,0.70%,0.70%,0.73%,0.75%
MA,3.50%,3.10%,2.70%,2.10%,2.36%,2.49%
MD,1.70%,1.70%,1.50%,1.30%,1.62%,1.63%
ME,0.50%,0.50%,0.50%,0.50%,0.54%,0.60%
MI,4.20%,4.10%,4.00%,4.10%,4.44%,4.35%
MN,2.50%,2.80%,3.70%,3.80%,3.12%,2.72%
MO,1.60%,1.60%,1.90%,2.00%,1.92%,1.57%
MP,0.00%,0.00%,#N/A,#N/A,#N/A,#N/A
MS,0.60%,0.60%,0.70%,0.70%,0.61%,0.57%
MT,0.40%,0.40%,0.40%,0.50%,0.35%,0.27%
NC,2.10%,2.20%,2.30%,2.10%,2.06%,2.27%
ND,0.30%,0.20%,0.30%,0.30%,0.24%,0.16%
NE,0.50%,0.50%,0.60%,0.70%,0.63%,0.51%
NH,1.00%,0.90%,0.90%,0.80%,0.80%,0.69%
NJ,3.70%,3.60%,2.80%,2.90%,3.18%,3.92%
NM,0.40%,0.50%,0.50%,0.50%,0.46%,0.37%
NV,0.90%,0.90%,0.80%,1.00%,0.92%,1.00%
NY,7.30%,6.60%,5.00%,4.70%,5.69%,7.14%
OH,5.70%,5.50%,6.10%,6.30%,7.42%,6.38%
OK,0.80%,0.90%,1.20%,1.10%,1.16%,0.80%
OR,1.50%,1.70%,1.80%,1.50%,1.59%,1.33%
PA,3.50%,3.40%,3.00%,3.10%,3.65%,3.55%
PR,0.50%,0.70%,0.80%,0.80%,0.88%,0.80%
RI,0.60%,0.40%,0.40%,0.30%,0.33%,0.35%
SC,1.00%,1.00%,1.00%,1.10%,1.18%,1.19%
SD,0.20%,0.20%,0.40%,0.30%,0.25%,0.23%
TN,0.90%,0.90%,1.00%,1.10%,1.16%,1.15%
TX,7.40%,7.20%,7.20%,7.90%,7.35%,7.14%
UT,1.70%,1.50%,1.80%,1.70%,1.60%,1.57%
VA,1.70%,1.70%,1.50%,1.50%,1.62%,1.70%
VI,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%
VT,0.30%,0.40%,0.40%,0.30%,0.28%,0.27%
WA,2.60%,2.90%,2.90%,2.80%,2.63%,2.47%
WI,2.10%,2.10%,2.30%,2.60%,2.01%,1.68%
WV,0.30%,0.30%,0.40%,0.40%,0.35%,0.27%
WY,0.20%,0.20%,0.20%,0.20%,0.21%,0.11%
